시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,933-1,933,1,정운빌라(933-1),38.07,18.24,202209,26,"14,000",5,2001,신정중앙로2길 5,,중개거래,서울 양천구
서울특별시 양천구 신정동,1193-8,1193,8,정은빌라B동,54.04,29.95,202210,11,"23,000",5,2003,중앙로45길 34-5,,중개거래,서울 양천구
서울특별시 양천구 신정동,908-12,908,12,제선그랜드빌,44.85,22.22,202303,13,"31,850",4,2010,은행정로15길 3,,중개거래,서울 양천구
서울특별시 양천구 신정동,1024-11,1024,11,준쉐르빌,43.6,26.48,202302,3,"35,200",5,2014,은행정로3길 5,,중개거래,서울 양천구
서울특별시 양천구 신정동,889-13,889,13,중앙아트맨션신정5차,29.05,14.97,202205,31,"9,800",-1,1993,목동로23길 21,,중개거래,서울 양천구
서울특별시 양천구 신정동,889-13,889,13,중앙아트맨션신정5차,29.05,14.97,202205,31,"9,800",-1,1993,목동로23길 21,20220613,중개거래,서울 양천구
서울특별시 양천구 신정동,889-14,889,14,천경빌라,48.41,24.44,202208,10,"10,000",-1,1993,목동로23길 19,,직거래,-
서울특별시 양천구 신정동,281-64,281,64,천안주택다동,36.42,24.5,202207,16,"26,200",2,1991,신목로5길 15-3,,중개거래,서울 양천구
서울특별시 양천구 신정동,950-21,950,21,청운파크맨션B,48.96,23.27,202205,21,"25,000",4,2002,은행정로13길 29,,중개거래,서울 양천구
서울특별시 양천구 신정동,118-8,118,8,타운하우스,70.87,39.01,202205,24,"47,000",4,2009,신목로6길 35,,직거래,-
서울특별시 양천구 신정동,118-8,118,8,타운하우스,57.42,31.6,202206,19,"41,000",5,2009,신목로6길 35,,직거래,-
서울특별시 양천구 신정동,118-8,118,8,타운하우스,69.13,38.05,202207,19,"42,800",2,2009,신목로6길 35,,중개거래,서울 양천구
서울특별시 양천구 신정동,118-8,118,8,타운하우스,59.64,32.82,202207,30,"40,500",2,2009,신목로6길 35,,직거래,-
